[2021-10-30 22:22:28] [ DEBUG] [JaxbCfgProcessor:116] cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[2021-10-30 22:22:28] [ DEBUG] [ServiceBinding:68] Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-10-30 22:22:28] [ DEBUG] [RegionFactoryInitiator:118] Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-10-30 22:22:28] [ DEBUG] [RegionFactoryInitiator:49] Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-10-30 22:22:28] [ INFO ] [Version:49] HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration boolean -> org.hibernate.type.BooleanType@6bb75258
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration boolean -> org.hibernate.type.BooleanType@6bb75258
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6bb75258
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@30990c1b
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration true_false -> org.hibernate.type.TrueFalseType@553f1d75
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration yes_no -> org.hibernate.type.YesNoType@4f071df8
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration byte -> org.hibernate.type.ByteType@62435e70
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration byte -> org.hibernate.type.ByteType@62435e70
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@62435e70
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration character -> org.hibernate.type.CharacterType@275fe372
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration char -> org.hibernate.type.CharacterType@275fe372
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@275fe372
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration short -> org.hibernate.type.ShortType@31e75d13
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration short -> org.hibernate.type.ShortType@31e75d13
[2021-10-30 22:22:28] [ DEBUG] [BasicTypeRegistry:156] Adding type registration java.lang.Short -> org.hibernate.type.ShortType@31e75d13
